label,date,method,window_name,param_name,param_value,scenario,active_points,soc_min_actual,soc_max_actual,soc_span_actual,n_turning_points,n_cycles_total,dominant_dod_mid,dominant_cycle_count,damage_index,param_name_feas,param_value_feas,Ecap_kwh,Pbatt_max_kw,soc_min,soc_max,soc0,ramp_p95_kw_target,ramp_p95_kw_actual,throughput_req_kwh,throughput_act_kwh,energy_mismatch_kwh,power_limit_frac,soc_limit_frac,efc_act
cloudy,2024-04-03,EMA,30min,alpha,0.2857142857142857,large,143,0.5043249051321209,0.6290605330903517,0.12473562795823079,47,45.0,0.025,44.0,0.0005248858655994344,alpha,0.2857142857142857,6000.0,1500.0,0.2,0.8,0.5,578.2840413984403,578.2840413984403,5430.675293068988,5360.267273888837,70.40801918015134,0.0279720279720279,0.0,0.4466889394907364
cloudy,2024-04-03,EMA,60min,alpha,0.15384615384615385,large,143,0.5055552944185739,0.7837224866758421,0.27816719225726816,45,43.0,0.025,39.0,0.0005129850654449275,alpha,0.1538461538461538,6000.0,1500.0,0.2,0.8,0.5,290.29540581746016,467.4144642621216,7491.931647807789,7264.408184491456,227.52346331633197,0.0769230769230769,0.0,0.6053673487076213
cloudy,2024-04-03,SMA,10min,N,2.0,large,143,0.5019583333333334,0.5278055555555556,0.025847222222222244,73,69.5,0.025,69.5,0.0008080916886522938,N,2.0,6000.0,1500.0,0.2,0.8,0.5,1283.425,1283.425,3754.833333333333,3742.25,12.583333333333332,0.0139860139860139,0.0,0.3118541666666666
cloudy,2024-04-03,SMA,20min,N,4.0,large,143,0.4983368055555554,0.577642361111111,0.07930555555555563,55,52.5,0.025,51.5,0.0006104289734423802,N,4.0,6000.0,1500.0,0.2,0.8,0.5,698.0374999999999,691.3874999999999,5458.583333333333,5245.458333333333,213.125,0.0629370629370629,0.0,0.4371215277777777
cloudy,2024-04-03,SMA,30min,N,6.0,large,143,0.5052824074074075,0.6347569444444447,0.12947453703703726,46,43.0,0.025,42.0,0.0005008009129057895,N,6.0,6000.0,1500.0,0.2,0.8,0.5,479.0083333333332,544.8249999999995,6227.208333333333,5939.541666666666,287.6666666666666,0.0629370629370629,0.0,0.4949618055555555
cloudy,2024-04-03,SMA,60min,N,12.0,large,143,0.5062453703703703,0.8,0.2937546296296297,41,39.0,0.025,34.0,0.000466476191277889,N,12.0,6000.0,1500.0,0.2,0.8,0.5,236.96666666666664,643.9999999999989,8342.520833333332,7756.576388888888,585.9444444444439,0.1258741258741259,0.0139860139860139,0.6463813657407407
medium,2025-03-15,EMA,10min,alpha,0.6666666666666666,large,135,0.501684670781893,0.5242423232595164,0.022557652477623313,49,44.5,0.025,44.5,0.0005174112251083033,alpha,0.6666666666666666,6000.0,1500.0,0.2,0.8,0.5,447.67917428273927,447.67917428273927,946.0813970231168,946.0813970231168,0.0,0.0,0.0,0.078840116418593
medium,2025-03-15,EMA,20min,alpha,0.4,large,135,0.5034543333333334,0.5719689509741214,0.06851461764078792,45,40.5,0.025,40.5,0.00047090235094126475,alpha,0.4,6000.0,1500.0,0.2,0.8,0.5,294.7606459285963,294.7606459285963,1974.4253147060572,1974.4253147060572,0.0,0.0,0.0,0.1645354428921714
medium,2025-03-15,EMA,30min,alpha,0.2857142857142857,large,135,0.5043349125364432,0.619064506802164,0.11472959426572071,43,39.5,0.025,39.5,0.0004592751323995051,alpha,0.2857142857142857,6000.0,1500.0,0.2,0.8,0.5,219.368593599296,219.368593599296,2602.3036452260367,2602.3036452260367,0.0,0.0,0.0,0.2168586371021697
medium,2025-03-15,EMA,60min,alpha,0.15384615384615385,large,135,0.5054459679866485,0.7584998336691385,0.25305386568249,27,23.5,0.025,21.0,0.0002775583169040047,alpha,0.1538461538461538,6000.0,1500.0,0.2,0.8,0.5,157.78570764592442,157.78570764592442,3952.181093068792,3952.181093068792,3.552713678800501e-15,0.0,0.0,0.3293484244223993
